Title,Price (€),Square Meters,Number of Rooms,City,Municipality,Neighborhood,Street,Floor,Number of Floors,Advertiser Type,Date Posted,Link
"Sarajevska,dvosoban renoviran,useljiv ID#19131",500,45,2,Beograd,Opština Savski venac,Centar,Sarajevska,VPR,5,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/sarajevska-dvosoban-renoviran-useljiv-id19131/5425646886581?kid=1
Stan kod Bioskopa Vozdovac- jako male režije,470,45,2,Beograd,Opština Voždovac,Bioskop Voždovac,Kralja Vladimira,,,Owner,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-kod-bioskopa-vozdovac--jako-male-rezije/5425643599465?kid=1
"Senjak - lux- troiposoban, dvorištem ID#5329",1850,85,3.5,Beograd,Opština Savski venac,Senjak,Simićeva,I,4,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/senjak---lux--troiposoban-dvoristem-id5329/5425646185686?kid=1
"Lion, Vranjska, 57m2 ID#11184",400,57,2,Beograd,Opština Zvezdara,Lion,Vranjska,IV,15,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lion-vranjska-57m2-id11184/5425646755122?kid=1
"Karaburna, Vojvode Micka",350,38,1.5,Beograd,Opština Palilula,Karaburma,Vojvode Micka Krstića,II,4,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/karaburna-vojvode-micka/5425646886841?kid=1
"Novi Dorćol,lux,novogradnja,useljiv ID#19034",650,37,1,Beograd,Opština Stari grad,Dorćol,Venizelosova,II,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-dorcol-lux-novogradnja-useljiv-id19034/5425646886570?kid=1
"Fantastičan, lux, opremljen",700,60,2,Beograd,Opština Palilula,Bulevar despota Stefana,Bulevar despota Stefana,III,5,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/fantastican-lux-opremljen/5425646654496?kid=1
"Poslovni prostor, Rakovica, Petlovo brdo, Gočka",1100,180,5,Beograd,Opština Rakovica,Petlovo brdo,Gočka,I,2,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/poslovni-prostor-rakovica-petlovo-brdo-gocka/5425645802175?kid=1
Novi Beograd - Retenzija #66600,1500,120,3,Beograd,Opština Novi Beograd,Stari Merkator,,VII,7,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---retenzija-66600/5425646885653?kid=1
Centar - Stari grad #166602,650,40,2,Beograd,Opština Stari grad,Obilićev venac,Topličin Venac,III,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---stari-grad-166602/5425646885678?kid=1
Novi Beograd - Ledine #1366604,400,60,3,Beograd,Opština Novi Beograd,Ledine,Surcinska,II,2,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---ledine-1366604/5425646886509?kid=1
Širi centar - Mirijevo #66603,600,40,2,Beograd,Opština Zvezdara,Mirijevo,,I,4,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/siri-centar---mirijevo-66603/5425646886510?kid=1
Renoviran stan sa tri spavaće sobe,1000,110,4,Beograd,Opština Savski venac,Dedinje,Šolina,II,2,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/renoviran-stan-sa-tri-spavace-sobe/5425646199659?kid=1
Medak III - Sunčano brdo,1200,200,5,Beograd,Opština Voždovac,Medaković 3,Rastislava Marića,I,2,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/medak-iii---suncano-brdo/5425645728767?kid=1
"Luksuzan 4-soban stan, Miloja Đaka, 136 m²",2500,136,4,Beograd,Opština Savski venac,Dedinje,Miloja Đaka,I,1,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/luksuzan-4-soban-stan-miloja-djaka-136-m/5425646027485?kid=1
"Dedinje, Užička, Salonski stan, 160m2",2300,160,4,Beograd,Opština Savski venac,Dedinje,Užička,PR,1,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dedinje-uzicka-salonski-stan-160m2/5425646162642?kid=1
Funkcionalan stan na Novom Beogradu - izdavanje,600,63,2,Beograd,Opština Novi Beograd,Blok 11,Bulevar Nikole Tesle,IV,4,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/funkcionalan-stan-na-novom-beogradu---izdavan/5425646161758?kid=1
"Banjica 46+30 bašta, nov namešten sa garažom",650,46,2,Beograd,Opština Voždovac,Banjica,Bulevar JNA,PR,5,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/banjica-4630-basta-nov-namesten-sa-garazom/5425646886175?kid=1
Kuća u nizu sa sopstvenim dvorištem ID#9747,2500,147,5,Beograd,Opština Savski venac,Dedinje,Raška,PR,2,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/kuca-u-nizu-sa-sopstvenim-dvoristem-id9747/5425645148748?kid=1
"Izdaje se 1.5 stan, 44 m2 u Zemunu, Šumadijska",500,44,1.5,Beograd,Opština Zemun,Cara Dušana,Šumadijska,I,4,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-1-5-stan-44-m2-u-zemunu-sumadijska/5425646886559?kid=1
Karađorđev trg - Izuzetan stan u novogradnji sa ga,1000,67,3,Beograd,Opština Zemun,Karađorđev trg,22. oktobra,III,7,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/karadjordjev-trg---izuzetan-stan-u-novogradnj/5425646754479?kid=1
"Voždovac - Nikšićka, V.Stepe, Dvosoban + PARKING",730,62,2,Beograd,Opština Voždovac,Vojvode Stepe,Nikšićka,I,3,Owner,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vozdovac---niksicka-v-stepe-dvosoban-parking/5425646885956?kid=1
Lep stan na Dorćolu ID#9789,550,36,2,Beograd,Opština Stari grad,Dorćol,Mike Alasa,I,4,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lep-stan-na-dorcolu-id9789/5425646886553?kid=1
"Vračar,  Južni bulevar, lux četvorosoban ID#15592",1500,70,4,Beograd,Opština Vračar,Južni bulevar,Gospodara Vučića,II,7,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-juzni-bulevar-lux-cetvorosoban-id15592/5425646620428?kid=1
Stan za izdavanje kod opštine Zvezdara ID#104899,450,42,2,Beograd,Opština Zvezdara,Đeram pijaca,Bulevar Kralja Aleksandra,I,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-za-izdavanje-kod-opstine-zvezdara-id1048/5425646703155?kid=1
"Vračar, Metropol, Kumanovska, novija zgrada, vojni",1250,85,3,Beograd,Opština Vračar,Kalenić pijaca,Kumanovska,I,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-metropol-kumanovska-novija-zgrada-vojn/5425646885952?kid=1
Lux stan na top lokaciji ID#4752,1000,54,2,Beograd,Opština Vračar,Crveni krst,Gružanska,II,5,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-stan-na-top-lokaciji-id4752/5425646162180?kid=1
Odličan stan kod Hrama ID#3509,1000,85,3,Beograd,Opština Vračar,Hram svetog Save,Katanićeva,II,7,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/odlican-stan-kod-hrama-id3509/5425646029644?kid=1
"Bulevar, sa parking mestom ID#11243",800,97,4,Beograd,Opština Zvezdara,Cvetkova pijaca,Vojvode Dovezenskog,II,2,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bulevar-sa-parking-mestom-id11243/5425645657452?kid=1
Izdavanje poslovni prostor,350,36,2,Beograd,Opština Palilula,Borča,RATNIH VOJNIH INVALIDA,PR,4,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-poslovni-prostor/5425646886541?kid=1
"Lastavice, retko u ponudi",850,42,2,Beograd,Opština Novi Beograd,Blok 58,Jurija Gagarina,,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lastavice-retko-u-ponudi/5425646886539?kid=1
Stari grad - Prizrenska ID#2221,2000,131,4,Beograd,Opština Stari grad,Centar,Prizrenska,III,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stari-grad---prizrenska-id2221/5425646754458?kid=1
"Pet-friendly, blizu Vukovog spomenika",500,33,2,Beograd,Opština Palilula,Hadžipopovac,,PR,14,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/pet-friendly-blizu-vukovog-spomenika/5425646886526?kid=1
"Cvijićeva, 2.0, panoramski pogled",550,35,1.5,Beograd,Opština Palilula,Cvijićeva,,XII,13,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/cvijiceva-2-0-panoramski-pogled/5425646886525?kid=1
Izdajem stan,400,25,1,Beograd,Opština Stari grad,Skadarlija,Skadarska,VPR,1,Owner,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan/5425635471895?kid=1
"Kuća 87m2, pet friendly, sa velikim dvorištem",500,87,3,Beograd,Opština Palilula,Višnjica,Ramadanska,I,2,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/kuca-87m2-pet-friendly-sa-velikim-dvoristem/5425646738964?kid=1
"Lion, Preševska,svetao, terasa, lift, namešten",350,40,1,Beograd,Opština Zvezdara,Gradska bolnica,Preševska,IV,5,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lion-presevska-svetao-terasa-lift-namesten/5425646692493?kid=1
"Vračar,kompletno  namešten 3.0 stan ID#13865",850,80,3,Beograd,Opština Vračar,Crveni krst,Vidovdanska,II,5,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-kompletno-namesten-3-0-stan-id13865/5425646754433?kid=1
"Dušanovac, izdavanje, 3.0, namešten, parking",700,71,3,Beograd,Opština Voždovac,Dušanovac,Kumodraška,VPR,5,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dusanovac-izdavanje-3-0-namesten-parking/5425646753923?kid=1
Novi Beograd - Blok 32 sa garažom - 3.0 ID#24838,1700,90,3,Beograd,Opština Novi Beograd,Blok 32 (Crkva svetog Dimitrija),Bulevar Zorana Đinđića,V,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---blok-32-sa-garazom---3-0-id248/5425646886515?kid=1
"Tašmajdan, 63 m2",1100,63,2,Beograd,Opština Palilula,Tašmajdan,,I,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/tasmajdan-63-m2/5425646886511?kid=1
"Sunnyville, 3.0 odličan, nov ID#10755",700,67,3,Beograd,Opština Palilula,Višnjička Banja,Mirka Milojkovića,VI,7,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/sunnyville-3-0-odlican-nov-id10755/5425646886507?kid=1
"Garsonjera u Žarkovu, Ace Joksimovića ID#3663",300,24,0.5,Beograd,Opština Čukarica,Žarkovo,Ace Joksimovića,III,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/garsonjera-u-zarkovu-ace-joksimovica-id3663/5425646885693?kid=1
Luksuzan stan na Studentskom trgu + dva parking,3200,100,4,Beograd,Opština Stari grad,Studentski trg,Bulevar oslobođenja,,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/luksuzan-stan-na-studentskom-trgu-dva-parking/5425646884870?kid=1
"Stan u Pop-Lukinoj ulici, 50 m², terasa",1100,47,1.5,Beograd,Opština Savski venac,Zeleni venac,Pop Lukina,V,7,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-u-pop-lukinoj-ulici-50-m-terasa/5425646885691?kid=1
"Dorćol, Strahinjića bana, odličan stan 70m2",700,70,2,Beograd,Opština Stari grad,Dorćol,Strahinjića Bana,VPR,5,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dorcol-strahinjica-bana-odlican-stan-70m2/5425646881703?kid=1
Voždovac - Medaković -1.5 ID#24873,350,39,1.5,Beograd,Opština Voždovac,Medaković 3,Braće Srnić,PR,9,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vozdovac---medakovic--1-5-id24873/5425646885688?kid=1
"Bw Verde, 84 m2",1600,84,3,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,XX,22,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-verde-84-m2/5425646885680?kid=1
"Blok A, Uroša Martinovića, 35 m2",600,35,1,Beograd,Opština Novi Beograd,Blok 67a (A blok),Uroša Martinovića,I,7,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/blok-a-urosa-martinovica-35-m2/5425646885679?kid=1
Centar Skupstina 130m za poslovni prostor,1200,130,4.5,Beograd,Opština Stari grad,Centar,,,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar-skupstina-130m-za-poslovni-prostor/5425643957830?kid=1
Centar Dorcol 90m2 za kancelarije lux 750,750,90,3.5,Beograd,Opština Stari grad,Centar,,,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar-dorcol-90m2-za-kancelarije-lux-750/5425644205382?kid=1
BW Metropolitan - 30 - Beograd na vodi,1500,72,3,Beograd,Opština Savski venac,Beograd na vodi,,XIII,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-metropolitan---30---beograd-na-vodi/5425646885677?kid=1
"BW Metropolitan – Luksuzan stan, 55m²",1300,55,2,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,X,17,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-metropolitan-luksuzan-stan-55m/5425646184958?kid=1
"Vracar/Kalenic/Bulevar 53m2 2,0sob, 2/6, lux, name",700,53,2,Beograd,Opština Vračar,Kalenić pijaca,Vojvode Šupljikca,II,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracarkalenicbulevar-53m2-2-0sob-26-lux-name/5425646885656
Lux tri apartmana za stan na dan ID#6321,3000,155,2,Beograd,Opština Zvezdara,Đeram pijaca,Đevđelijska,VPR,1,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-tri-apartmana-za-stan-na-dan-id6321/5425646754398?kid=1
Svetao I Fantastican Stan Kod Kalenica,1300,117,4,Beograd,Opština Vračar,Kalenić pijaca,,IV,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/svetao-i-fantastican-stan-kod-kalenica/5425646857599
"3.0, novogradnja, odmah useljiv ID#7440",1100,87,4,Beograd,Opština Rakovica,Vidikovac,Kneza Višeslava,V,7,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/3-0-novogradnja-odmah-useljiv-id7440/5425645456613?kid=1
Senjak - prelep stan -  Mediteranski stil,1200,85,3,Beograd,Opština Savski venac,Senjak,,I,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/senjak---prelep-stan---mediteranski-stil/5425646885672?kid=1
Mirijevo-Novogradnja sa parkingom,350,30,1.5,Beograd,Opština Zvezdara,Mirijevo,Ljube Tadića,III,3,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/mirijevo-novogradnja-sa-parkingom/5425646885915?kid=1
+Izuzetan trosoban stan-Mirijevo-VN 012,700,80,4,Beograd,Opština Zvezdara,Mirijevo,Ljube Tadića,II,3,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izuzetan-trosoban-stan-mirijevo-vn-012/5425646885458?kid=1
Dvosoban stan - Terazije,850,60,2,Beograd,Opština Stari grad,Terazije,Balkanska,I,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dvosoban-stan---terazije/5425646601734?kid=1
Stan od 75 m² nalazi se u centru grada,1000,75,3,Beograd,Opština Savski venac,Zeleni venac,Jug Bogdanova,I,4,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-od-75-m-nalazi-se-u-centru-grada/5425646023495?kid=1
Stan na najboljoj lokaciji,750,40,2,Beograd,Opština Stari grad,Obilićev venac,Obilićev venac,II,5,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-na-najboljoj-lokaciji/5425646468675?kid=1
Duplex u Lominoj,1200,138,3.5,Beograd,Opština Savski venac,Balkanska,Lomina,III,4,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/duplex-u-lominoj/5425646143861?kid=1
Lux stan na Vračaru 154m2,3500,154,4.5,Beograd,Opština Vračar,Kalenić pijaca,Nevesinjska,VII,7,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-stan-na-vracaru-154m2/5425646461586?kid=1
Izdaje se luksuzan stan - Kneza Miloša Residence,800,36,1,Beograd,Opština Savski venac,Kneza Miloša,Vojvode Milenka,VI,8,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-luksuzan-stan---kneza-milosa-reside/5425645993807?kid=1
"Salonac, 4.0, Dorćol ID#8154",1800,105,4,Beograd,Opština Stari grad,Dorćol,,II,3,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/salonac-4-0-dorcol-id8154/5425645911907?kid=1
Wellport - LUX,700,35,1,Beograd,Opština Novi Beograd,Blok 65,Tadije Sondermajera,V,21,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/wellport---lux/5425646885456?kid=1
"Odličan,renoviran stan",1000,77,3,Beograd,Opština Savski venac,Nemanjina,Savski trg,I,8,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/odlican-renoviran-stan/5425646619865?kid=1
+Mirijevo-Novogradnja sa parkingom-VN 011,450,50,1.5,Beograd,Opština Zvezdara,Mirijevo,Ljube Tadića,PR,3,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/mirijevo-novogradnja-sa-parkingom-vn-011/5425646885906?kid=1
Mali stan na odličnoj lokaciji – pored Hrama,600,40,1,Beograd,Opština Vračar,Hram svetog Save,,I,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/mali-stan-na-odlicnoj-lokaciji-pored-hrama/5425646886203?kid=1
"1,0 stan, nov,ne koriscen,vlasnik",430,45,1,Beograd,Opština Rakovica,Novo Skojevsko naselje,Godominska,III,4,Owner,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/1-0-stan-nov-ne-koriscen-vlasnik/5425635764311?kid=1
Nov prelep stan sa divnim pogledom na SC Olimp,600,48,2,Beograd,Opština Zvezdara,Olimp,Vojvode Blažete,I,3,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/nov-prelep-stan-sa-divnim-pogledom-na-sc-olim/5425646885450?kid=1
"1.5 stan sa garažnim mestom, Radojke Lakić ID#3149",700,51,1.5,Beograd,Opština Zvezdara,Cvetkova pijaca,Radojke Lakić,V,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/1-5-stan-sa-garaznim-mestom-radojke-lakic-id3/5425646885644?kid=1
"Dedinje – Diplomatska zona, 3.0 stan sa garažom i",1350,80,3,Beograd,Opština Savski venac,Dedinje,Cara Iraklija,I,1,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dedinje-diplomatska-zona-3-0-stan-sa-garazom/5425646853804?kid=1
+Novogradnja-Mirijevo-VN 010,350,40,1.5,Beograd,Opština Zvezdara,Mirijevo,Ljube Tadića,III,3,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novogradnja-mirijevo-vn-010/5425646886100?kid=1
"Topličin venac, 3.0 stan ID#13864",900,81,3,Beograd,Opština Stari grad,Topličin venac,Maršala Birjuzova,VI,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/toplicin-venac-3-0-stan-id13864/5425646754003?kid=1
"Medakovic padina, stan u kući ID#10291",650,90,3,Beograd,Opština Zvezdara,Veliki Mokri Lug,Pavla Popovića,I,2,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/medakovic-padina-stan-u-kuci-id10291/5425645343286?kid=1
"Golsvordijeva, 120m2, 4 sobe, terasa, petfriendly",1100,120,4,Beograd,Opština Vračar,Kalenić pijaca,Golsvordijeva,II,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/golsvordijeva-120m2-4-sobe-terasa-petfriendly/5425646885307?kid=1
"Južni bulevar, 80m2, trosoban, namešten, garaža",900,80,3,Beograd,Opština Vračar,Južni bulevar,Južni bulevar,III,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/juzni-bulevar-80m2-trosoban-namesten-garaza/5425646885403?kid=1
"0,5 stan od 35m2 Dorćol",600,35,0.5,Beograd,Opština Stari grad,Dorćol,SKENDER BEGOVA,I,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/0-5-stan-od-35m2-dorcol/5425646883509?kid=1
Spektakularan penthouse sa očaravajućom pogledom,4000,213,5,Beograd,Opština Novi Beograd,Blok 32 (Crkva svetog Dimitrija),Bulevar Zorana Đinđića,VI,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/spektakularan-penthouse-sa-ocaravajucom-pogle/5425646306877?kid=1
Izuzetan salonac na Vračaru za život i poslovni pr,1000,100,3.5,Beograd,Opština Vračar,Hram svetog Save,Novopazarska,IV,4,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izuzetan-salonac-na-vracaru-za-zivot-i-poslov/5425644326239?kid=1
Stan sa tri spavaće sobe i velikim dnevnim boravko,2500,217,4,Beograd,Opština Savski venac,Dedinje,Neznanog junaka,III,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-sa-tri-spavace-sobe-i-velikim-dnevnim-bo/5425646027154?kid=1
Lux stan na atraktivnoj lokaciji,3200,177,4,Beograd,Opština Savski venac,Senjak,Milovana Glišića,,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-stan-na-atraktivnoj-lokaciji/5425645766578?kid=1
"Beograd, Takovska, Stan, 3.0, 84m2",1800,84,3,Beograd,Opština Stari grad,Takovska,Koste Stojanovica,I,5,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/beograd-takovska-stan-3-0-84m2/5425646331973?kid=1
Izdavanje stana Železnik,350,50,2.5,Beograd,Opština Čukarica,Železnik,Braće Lukića,PR,2,Owner,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-stana-zeleznik/5425645471946?kid=1
"Banovo brdo, Požeška, 79m2 ID#14392",700,79,4,Beograd,Opština Čukarica,Banovo brdo,Požeška,IV,4,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/banovo-brdo-pozeska-79m2-id14392/5425646885625?kid=1
Izdaje se luksuzan stan– Kneza Miloša Rezidense,1600,67,2,Beograd,Opština Savski venac,Kneza Miloša,Vojvode Milenka,V,8,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-luksuzan-stan-kneza-milosa-rezidens/5425646022881?kid=1
"B.kosa, 94+20m2, 3,5, garaža, Lux 51",1600,94,3.5,Beograd,Opština Novi Beograd,Bežanijska kosa 1,Partizanske avijacije,IV,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/b-kosa-9420m2-3-5-garaza-lux-51/5425646885622?kid=1
"Dvosoban, Profesorska kolonija ID#13544",800,48,2,Beograd,Opština Palilula,Profesorska kolonija,Braće Grim,III,5,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dvosoban-profesorska-kolonija-id13544/5425646617490?kid=1
"Novi Beograd, YUBC, za poslovni pr. 150 m2, 4.0",2000,150,4,Beograd,Opština Novi Beograd,YUBC,,IV,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd-yubc-za-poslovni-pr-150-m2-4-0/5425646752215?kid=1
"Namesten 2.0 Ledine, izdajem",400,43,2,Beograd,Opština Surčin,Ledine,Milovana Vidaka,SUT,2,Owner,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/namesten-2-0-ledine-izdajem/5425646885799?kid=1
"Voždovac-Stepa Stepanović, 3,0 s, 84 m2, namešten",850,84,3,Beograd,Opština Voždovac,Naselje Stepa Stepanović,Kaplara Momčila Gavrića,I,6,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vozdovac-stepa-stepanovic-3-0-s-84-m2-nameste/5425646885431?kid=1
"Surčin, stan u kući, duplex ID#12565",500,81,2,Beograd,Opština Surčin,Surčin (mesto),Barska,PR,1,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/surcin-stan-u-kuci-duplex-id12565/5425646181590?kid=1
"Nov, Neuseljavan - 3.0 - garaza",1400,85,3,Beograd,Opština Savski venac,Beograd na vodi,Luke Ćelovića Trebinjca,I,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/nov-neuseljavan---3-0---garaza/5425645500592?kid=1
"Naspram Hrama, u ravnoteži sa sobom.",2700,122,4,Beograd,Opština Vračar,Hram svetog Save,Skerlićeva,IV,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/naspram-hrama-u-ravnotezi-sa-sobom/5425645571606?kid=1
Lux 2.0 / garaza,1500,59,2,Beograd,Opština Savski venac,Beograd na vodi,Hercegovačka,VPR,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-2-0-garaza/5425643292956?kid=1
Exclusive apartment in BW Residences /45m2 terrace,2800,124,3,Beograd,Opština Savski venac,Beograd na vodi,Hercegovačka,XIV,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/exclusive-apartment-in-bw-residences-45m2-ter/5425635616381?kid=1
Ekskluzivan 4.0/ 2 garazna - Kalenic,3000,120,4,Beograd,Opština Vračar,Krunska,,V,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/ekskluzivan-4-0-2-garazna---kalenic/5425642752406?kid=1
Izdavanje luksuznog stana na Vracaru / 4.0 / gar,3600,183,4,Beograd,Opština Vračar,Krunska,Sinđelićeva,IV,,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-luksuznog-stana-na-vracaru-4-0-gar/5425642753201?kid=1
"Karaburma, 40m2, 1.0, namešten, odmah useljiv!",270,40,1,Beograd,Opština Palilula,Karaburma,Pjera Križanića,PR,2,Agency,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/karaburma-40m2-1-0-namesten-odmah-useljiv/5425646885424?kid=1
Izdajem stan 'bez dodatnih troškova,400,42,1,Beograd,Opština Zvezdara,Mirijevo,Mirjevski venac 10,III,8,Owner,3/13/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan-bez-dodatnih-troskova/5425646663225?kid=1
