Title,Price (€),Square Meters,Number of Rooms,City,Municipality,Neighborhood,Street,Floor,Number of Floors,Advertiser Type,Date Posted,Link
"Palilula, Profesorska kolonija - Stojana Novaković",1200,130,4,Beograd,Opština Palilula,Profesorska kolonija,Stojana Novakovića,I,2,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/palilula-profesorska-kolonija---stojana-novak/5425646904283?kid=1
"Zemun Retenzija Radnička IV sprat CG 2,0 + garaža",600,54,2,Beograd,Opština Zemun,Retenzija,Radnička,IV,6,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun-retenzija-radnicka-iv-sprat-cg-2-0-gara/5425646903642?kid=1
Centar - Beograd na vodi BW #66653,1200,55,2,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,V,24,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-66653/5425646902721?kid=1
Kalenić-1.5 renoviran stan,550,34,1.5,Beograd,Opština Vračar,Kalenić pijaca,,I,3,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/kalenic-1-5-renoviran-stan/5425646355042?kid=1
"Savska, odlična lokacija ID#14434",650,61,3,Beograd,Opština Savski venac,Palata pravde,Savska,I,3,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/savska-odlicna-lokacija-id14434/5425646902718?kid=1
"Admirala Vukovića, 100m2,parking, dvorište",850,100,2.5,Beograd,Opština Voždovac,Autokomanda,Admirala Vukovića,,,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/admirala-vukovica-100m2-parking-dvoriste/5425645069538?kid=1
"Savski venac , BW, Bulevar Vudroa Vilsona – Verde",1600,84,3,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,XX,22,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/savski-venac-bw-bulevar-vudroa-vilsona-verde/5425646902717?kid=1
Senjak-156m2+terasa 335m2-Dva parking mesta ID#296,4500,156,4,Beograd,Opština Savski venac,Senjak,Milovana Glišića,PR,3,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/senjak-156m2terasa-335m2-dva-parking-mesta-id/5425645587365?kid=1
"Arena, 98m², 3.0,",900,98,3,Beograd,Opština Novi Beograd,Arena,Bulevar Arsenija Čarnojevića,VI,,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/arena-98m-3-0/5425646904198?kid=1
Garsonjera,300,20,0.5,Beograd,Opština Čukarica,Bele vode,Radovana Miloševića,PR,2,Owner,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/garsonjera/5425646890778
"BW Libera, novogradnja, može i pp, ID 25447",1150,54,2,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,IV,16,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-libera-novogradnja-moze-i-pp-id-25447/5425646903635?kid=1
"Izdaje se dvosoban stan u kompleksu New Minel,40m2",650,65,2,Beograd,Opština Novi Beograd,Tošin bunar,Tošin bunar,IV,7,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-dvosoban-stan-u-kompleksu-new-minel/5425646904191?kid=1
"Zvezdara, Lion, trosoban, novogradnja",650,70,3,Beograd,Opština Zvezdara,Lion,,II,6,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zvezdara-lion-trosoban-novogradnja/5425644453593?kid=1
"Lux penthous za izdavanje, Centar,175m2",2000,175,4,Beograd,Opština Stari grad,Centar,,V,5,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-penthous-za-izdavanje-centar-175m2/5425646265013?kid=1
"Luksuzan stan za izdavanje , Svetozara Markovica ,",2400,109,4,Beograd,Opština Vračar,Cvetni trg,,II,4,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/luksuzan-stan-za-izdavanje-svetozara-markovic/5425645302223?kid=1
"Stan za izdavanje, Dedinje, 67m2",580,67,2,Beograd,Opština Savski venac,Dedinje,,I,5,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-za-izdavanje-dedinje-67m2/5425646155030?kid=1
Izdajem stan na Zvezdari,550,75,2.5,Beograd,Opština Zvezdara,Kluz,Voje Veljkovića,IV,5,Owner,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan-na-zvezdari/5425646747329?kid=1
Dvosoban stan na Dorcolu,800,50,2,Beograd,Opština Stari grad,Dorćol,Jevrejska,VPR,3,Owner,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dvosoban-stan-na-dorcolu/5425646904082
